nBits,ms
8,0.016927719116210938
9,0.0247955322265625
10,0.030994415283203125
11,0.02002716064453125
12,0.08702278137207031
13,0.0059604644775390625
14,0.5509853363037109
15,1.5418529510498047
16,0.9260177612304688
17,3.2758712768554688
18,10.502815246582031
19,35.12382507324219
20,73.07100296020508
21,2.2699832916259766
22,259.1109275817871
23,270.9040641784668
24,857.3241233825684
25,1415.0147438049316
26,1454.247236251831
27,4966.811180114746
28,67.66200065612793
29,8445.399761199951
30,12195.942163467407
31,40777.34112739563
32,11640.620946884155
33,95174.76487159729
34,69294.01803016663
35,727086.0660076141
